Metric Name,Type
kueue_admission_attempt_duration_seconds,histogram
kueue_admission_attempts_total,counter
kueue_admission_checks_wait_time_seconds,histogram
kueue_admission_cycle_preemption_skips,gauge
kueue_admission_wait_time_seconds,histogram
kueue_admitted_active_workloads,gauge
kueue_admitted_workloads_total,counter
kueue_cluster_queue_borrowing_limit,gauge
kueue_cluster_queue_lending_limit,gauge
kueue_cluster_queue_nominal_quota,gauge
kueue_cluster_queue_resource_reservation,gauge
kueue_cluster_queue_resource_usage,gauge
kueue_cluster_queue_status,gauge
kueue_cluster_queue_weighted_share,gauge
kueue_cohort_weighted_share,gauge
kueue_evicted_workloads_total,counter
kueue_local_queue_admission_checks_wait_time_seconds,histogram
kueue_local_queue_admission_wait_time_seconds,histogram
kueue_local_queue_admitted_active_workloads,gauge
kueue_local_queue_admitted_workloads_total,counter
kueue_local_queue_evicted_workloads_total,counter
kueue_local_queue_pending_workloads,gauge
kueue_local_queue_quota_reserved_wait_time_seconds,histogram
kueue_local_queue_quota_reserved_workloads_total,counter
kueue_local_queue_reserving_active_workloads,gauge
kueue_local_queue_resource_reservation,gauge
kueue_local_queue_resource_usage,gauge
kueue_local_queue_status,gauge
kueue_pending_workloads,gauge
kueue_preempted_workloads_total,counter
kueue_quota_reserved_wait_time_seconds,histogram
kueue_quota_reserved_workloads_total,counter
kueue_reserving_active_workloads,gauge
